name	lat	lon	amenity	shop
Erduş Balık Ekmek	40.3959695	27.7902564	restaurant	
(isimsiz)	42.0213676	35.1564677		
Berceste	40.7029768	30.3128688	restaurant	
Berceste	40.8007772	30.8498066	restaurant	
(isimsiz)	40.7584484	31.350973	restaurant	
(isimsiz)	40.7535521	31.3634657	restaurant	
(isimsiz)	40.7504478	31.3743156	restaurant	
(isimsiz)	40.7471313	31.3825675	restaurant	
(isimsiz)	40.7480959	31.4023512	restaurant	
Cumhuriyet Fırını	39.9575254	32.7004355	restaurant	bakery
(isimsiz)	39.6532771	31.9960269	fast_food	
(isimsiz)	40.2959008	29.058922	restaurant	
Değirmen Balıkcısı	36.8654526	31.7517576	restaurant	
Konyalı Kebap	39.9038863	32.8137266	restaurant	
Arıcan Market	39.8840523	32.803434		supermarket
Quick China	39.8715794	32.6820882	restaurant	
İncek Sofrası	39.8113785	32.7101463	restaurant	
Karacaoğlu	39.8132025	32.7127677	restaurant	
(isimsiz)	39.8791241	32.8606357	restaurant	
Mantar	39.8791119	32.8608287	restaurant	
Hill Fırın	39.8847896	32.8522128		bakery
Beykoz	39.884752	32.8534031	restaurant	
Çorbacı Hasan Usta	39.8852694	32.8545145	restaurant	technology
Tadım Pizza	39.8947605	32.8499683	fast_food	
Saklıbahçe	39.9148117	32.8044537	restaurant	
Quick China	39.8959322	32.8780299	restaurant	
Mado	39.9027817	32.860248	cafe	patisserie
Liman Restoran	39.8929116	32.8560433	restaurant	
C'ViZ	39.8915594	32.8711121	cafe	
Yeni Besi Çiftliği	39.884217	32.855833		supermarket
Akalın	39.7939743	32.7938475	restaurant	
Beykoz	39.7915947	32.7943692	restaurant	
Schnitzel	39.902	32.8634237	restaurant	
Yıldız Aspava	39.9064547	32.8666234	restaurant	
Uludağ Döner	39.8953734	32.8664112	restaurant	
Gar Lokantası	39.8975795	32.8716825	restaurant	
Crossroads Pub	39.8840651	32.8545922	pub	
Karadeniz Kıyak Balıkçısı	39.8734855	32.8659259	restaurant	
BİM	39.9171331	32.8651398		supermarket
Domino's	39.893552	32.8763696	fast_food	
İkbal Dinlenme Tesisleri	38.792579	30.4564783	restaurant	
Kırçiçeği	37.0489716	27.3918019	restaurant	
Musto bistro	37.0360385	27.4232603	restaurant	
Hot Spot	37.0347969	27.4224	pub	
Zetaş Saray Ocakbaşı	37.0326609	27.3988127	restaurant	
Armani Cafe	37.0046652	27.2561413	pub	
Fener Balıkçı	36.9647379	27.2644653	restaurant	
Göksu Restoran	39.9216819	32.8570773	restaurant	
Cafe des Cafes	39.9066216	32.8612044	cafe	
Halk Ekmek	39.9226673	32.870808		bakery
Halk Ekmek	39.919056	32.8760354		bakery
Halk Ekmek	39.9108891	32.8786157		bakery
Cumhuriyet Fırını	39.910682	32.8828802		bakery
Halk Ekmek	39.9122559	32.8705691		bakery
Mado	39.8964973	32.7045638	cafe	
Çıtır Simit	39.8963944	32.7045148		bakery
Samsun Pide Evi	39.9092841	32.8609497	restaurant	
Alko	38.7739588	30.5711481		confectionery
Seçen	38.7740391	30.5708219		confectionery
Hido	38.7741529	30.5705473		confectionery
Hido	38.7741357	30.5705849	fast_food	
Trilye Restoran	39.8940454	32.8718349	restaurant	
Acıktım	39.8851776	32.8557927	fast_food	
Lal Cafe	39.8978381	32.7057047	cafe	
Liva	39.8968768	32.7048764	cafe	
Balıkçıköy	39.8967995	32.7048309	restaurant	
Aslı Börek	39.8962397	32.7043433	fast_food	
Şanlı Edessa Kebap	39.8962191	32.7043402	restaurant	
Amarillo	39.8927543	32.8695777	restaurant	
Simit Center	39.9038754	32.8611345	fast_food	
Peperoncino	39.8935759	32.876994	restaurant	
Dem	39.8840155	32.8541989	restaurant	
Yelken Balık Evi	39.8840313	32.854399	restaurant	
Carrefour	39.8952253	32.7017668		supermarket
Tivmaş	39.9137865	32.8046281		supermarket
Tepebağ	39.8851471	32.857218	restaurant	
Doruk Kuruyemiş	39.8854358	32.8561133		convenience
Number One	38.6474084	26.5158302	restaurant	
Özlem Döner	39.8711047	32.8590035	restaurant	
Kafe's	39.9091774	32.7896872	cafe	
Polat Market	39.8715799	32.8560452		convenience
Riff	39.9092082	32.858754	pub	
Muhteşem Dinlenme Tesisleri	39.4613994	31.5793207	restaurant	
Bolulu Hasan Usta	39.9066378	32.8609512	cafe	patisserie
Vitamin	39.906043	32.8606989	fast_food	
Lezita	39.9058308	32.8606234	fast_food	
Birlik	39.9051202	32.8604523	fast_food	juice
Altınnal Meyhane	39.8911796	32.8560452	restaurant	
Bursa İnegöl Köftecisi	39.8889222	32.8548522	restaurant	
Beyaz Et	39.8847545	32.8530158	fast_food	
Dedem Sandwich	39.8847633	32.8528833	fast_food	
Fige	39.8853055	32.8570084	restaurant	
Gelidonya Feneri	39.8845806	32.856267	restaurant	
Beyaz Saray Restaurant	36.5417833	32.1077917	restaurant	
Zelve	38.7192331	34.8478787	restaurant	
Maydonoz Döner	38.7184748	34.8465923	fast_food	
A101	38.7169887	34.8433002		supermarket
Konyali mesut usta	38.4392321	27.1437218	fast_food	
Şok	36.9653959	27.2819556		supermarket
Hamdi	41.0171629	28.9698993	restaurant	
Migros	38.4589282	27.1948836		supermarket
Pera Antakya	41.0309965	28.9748683	restaurant	
La Lorraine	36.6128658	29.3583461	cafe	
(isimsiz)	36.565658	29.3896631	cafe	
(isimsiz)	36.5543095	29.4209033	cafe	
Restaurant	36.5530274	29.4368702	restaurant	
(isimsiz)	36.341037	29.3871556	cafe	
Kalamar Beach Club	36.2629624	29.3967694	cafe	
(isimsiz)	37.1790022	31.1850597	restaurant	
McDonald's	37.039535	27.4134374	fast_food	
Carrefour	37.0484875	27.3938442		supermarket
Mavi Park Restaurant	36.9946981	27.2580967	restaurant	
Migros	37.1296398	27.3455321		supermarket
(isimsiz)	37.0079607	27.2593406	restaurant	
bakery	37.0059575	27.2580745		bakery
Pizzeria	41.0122714	28.9551177	restaurant	
Celep Veli	36.9720567	27.2996321	restaurant	
McDonald's	41.0260114	29.0166111	fast_food	
Grosper	41.0166566	29.0235532		supermarket
Deniz Market	37.0330188	27.2496503		supermarket
Burger King	38.0703032	27.4111785	fast_food	
(isimsiz)	37.0537965	27.2351933	restaurant	
Belediye Çay Bahçesi	37.0541624	27.2354803	cafe	
McDonald's	37.0330678	27.4298863	fast_food	
Snack Bar Cafe	37.0339398	27.2510411	cafe	
(isimsiz)	37.1306301	27.3428288	restaurant	
(isimsiz)	37.1303981	27.3398604	restaurant	
(isimsiz)	37.1315777	27.3405469	restaurant	
Kekik Beach Restoran Bar	37.0301496	27.2494688	restaurant	
Körfez Balık Lokantası	37.0327526	27.2488254	restaurant	
(isimsiz)	37.1331475	27.376006	restaurant	
(isimsiz)	37.1343604	27.3771642	restaurant	
(isimsiz)	37.0332448	27.4306948	restaurant	
Amiral Cafe	37.0057894	27.2567757	restaurant	
Beyaz Kösk	40.8984291	29.1732704	cafe	
Migros	37.7081519	27.3845437		supermarket
McDonald's	37.7107961	27.3845425	fast_food	
(isimsiz)	39.8858819	32.8492478		supermarket
Halil İbo Tandir ve Etli Ekmek	39.9287943	32.8198037	restaurant	
MMM Migros	39.8936459	32.6787786		supermarket
(isimsiz)	38.6414718	34.8438197	cafe	
(isimsiz)	38.7183581	34.8476768	ice_cream	
Çalı Teras	38.7175074	34.8435107	restaurant	
ODTÜ Bağ Evi	39.8302859	32.8272287	restaurant	
Özlem Dinlenme Tesisleri	38.8014296	30.6241181	restaurant	
A101	37.0056913	27.2597557		supermarket
Sushico | Chinese in Town	39.848683	32.8337323	restaurant	
İTO ESHV Tesisleri	41.0709509	29.0626164	restaurant	
McDonald's	41.0246349	28.6233394	fast_food	
Dafne	39.8937627	32.8510889	restaurant	
MyLand	36.4146776	30.4801672	restaurant	
Fruit vendor (Bananas, Cactus Fruits)	36.3585594	32.2030458		convenience
Kervanhan Karmina	38.7198411	34.847331	cafe	
(isimsiz)	38.7127985	34.8448734	cafe	
Ley Ley Restaurant	36.8407748	28.7012064	restaurant	
Kordon	36.833605	28.641089	restaurant	
Ali Baba	36.8334285	28.641609	restaurant	
Sini	36.832248	28.6387066	restaurant	
Yakamoz	36.8310557	28.6386017	restaurant	
Bengisu	36.8326425	28.6432581	restaurant	
(isimsiz)	36.8325915	28.642981		supermarket
(isimsiz)	36.7773082	28.6314096	restaurant	
Aspendos	36.9640443	31.1803944	restaurant	
Mısırcı ???	36.9742496	29.8054113	fast_food	
(isimsiz)	36.9193046	31.1636465	restaurant	
Mohan	37.2434578	29.5999883	restaurant	
Altinuç	37.7325187	28.6397576	restaurant	
Sultan	37.9376405	27.3641871	restaurant	
Domino's	39.8950955	32.8500418	fast_food	
(isimsiz)	36.9201532	31.166397	restaurant	
KavClub	40.0761154	33.0204851	restaurant	
Yıldırım Süpermarket	39.8756391	32.8631695		supermarket
Koray Outlet	39.8791195	32.8617024		convenience
Kafeterya	39.8934801	32.7840236	restaurant	
Taş Bina	39.7912485	30.498296	restaurant	
BİM	39.9285683	32.827193		supermarket
Limanlı Bahçe	39.9276879	32.8266997	restaurant	
Coffee Lab	39.9061676	32.8607376	cafe	
Market	40.0604318	32.1158071		convenience
(isimsiz)	38.7580987	30.5404292	cafe	
Yılmaz Konya Tandır	39.5733218	32.1220609	restaurant	
Sofram Anteplim	39.5738129	32.1227829	restaurant	
Mocaco	39.9312266	32.8260134	cafe	
Aslı Börek	39.9309642	32.8260307	restaurant	
Noma	39.9288091	32.8260974	restaurant	
Burger King	39.9324318	32.8292508	fast_food	
Geyik Kafe	39.9304441	32.8637707	restaurant	
Domino's	39.8849336	32.7632613	fast_food	
Burger King	39.8819104	32.756904	fast_food	
(isimsiz)	36.2747822	29.4154235		convenience
(isimsiz)	36.9759146	27.304096	fast_food	
Mor Plaj Cafe	37.0235583	27.3725775	fast_food	
Bitez Dondurmacısı	37.0425079	27.3779135	cafe	
Sultan Restaurant	37.027863	27.3783468	restaurant	
Erdem Market	37.0278034	27.3784767		convenience
CJ's Sofra Restaurant	37.0277557	27.3785933	restaurant	
Altın Kaşık	37.0277225	27.3786874	restaurant	
Okaliptüs	37.0274922	27.3792223	pub	
Toloman	37.0274221	27.3794054	restaurant	
Vona	37.0273594	27.3797243	restaurant	
Memedof	37.0343702	27.4216024	restaurant	
Red Dragon	37.0355782	27.4225431	restaurant	
Kırmızı	37.0361619	27.4285121	pub	
Kule Bar	37.033692	27.4333496	bar	
Soylu Dinlenme Tesisleri	37.4549616	28.8585952	restaurant	
Adalya Restaurant	38.5238893	30.221093	restaurant	
Adalya Market	38.5241882	30.2206572		convenience
Adalya Sucuk Döner	38.5238387	30.220841	fast_food	
Koç Aspava	39.9025717	32.8496325	restaurant	
Cafemiz	39.8979214	32.8657829	cafe	
Minna's Hot Spot Bistro	39.8976	32.8664221	restaurant	
Çin Seddi Restaurant	39.8864256	32.8476566	restaurant	
Şok	39.8718318	32.8597335		supermarket
Nefiss Döner	39.8717621	32.8593778	fast_food	
Balık Pişirme Evi	39.8722337	32.8595254	restaurant	
Asmaaltı	36.312211	29.4232859	restaurant	
Güler Et Mangal	37.3558836	31.8850346	restaurant	
(isimsiz)	36.4723117	29.403147	restaurant	
Simena Restaurant	36.1898291	29.861211	restaurant	
Palmiye Restaurant	36.190178	29.8615359	restaurant	
Likya Restaurant	36.1902548	29.8616202	restaurant	
Palmiye Market	36.1901038	29.8614894		convenience
Hassan Deniz Restaurant	36.1900039	29.8608726	restaurant	
Roma Restaurant	36.1899601	29.8606124	restaurant	
Şahin Market	36.418872	30.4820313		convenience
Paşa Gözleme	36.4161219	30.4802657	fast_food	
Çıralı Gözleme	36.4047698	30.4739263	fast_food	
Köşk Gözleme	36.3097073	30.4644583	fast_food	
Paradise Cafe Restaurant	36.3127307	30.4621913	restaurant	
Atıcı Market	36.3135808	30.4539678		convenience
Onur Market	36.3778362	30.4458326		convenience
Altıntaş Gözleme Köşkü	36.4012187	30.4411275	restaurant	
Uluçınar Restaurant	36.4234139	30.4434084	restaurant	
Çıralı Market	36.4037859	30.4723342		convenience
Kaptan Restaurant	36.4040374	30.4732605	restaurant	
İkiz Restaurant	36.4033473	30.4772322	restaurant	
(isimsiz)	36.4038428	30.4775771	restaurant	
Aida Azur Restaurant	36.4038789	30.4775279	restaurant	
Orange Restaurant	36.4043794	30.4778484	restaurant	
Karakuş Restaurant	36.404915	30.478061	restaurant	
Dione Bar	36.4028395	30.4770166	pub	
(isimsiz)	36.4263048	30.4254449		convenience
Çağlayan Restaurant	37.1896762	31.1833272	restaurant	
Öztürk Tekel Market	36.7274096	31.5499687		convenience
Faros	39.8717048	32.6815668	restaurant	
Salı Pazarı	36.6239767	29.1205395	marketplace	convenience
File Market	39.8788512	32.8618045		supermarket
(isimsiz)	39.8774245	32.8614945	cafe	
Cambo İskender & Kebap	39.8751919	32.8605146	restaurant	
bi' çorba	39.8677719	32.8575002	restaurant	
(isimsiz)	38.6700136	34.8635308	cafe	
(isimsiz)	38.6699728	34.8630644	cafe	
(isimsiz)	38.6696761	34.8630867	cafe	
(isimsiz)	38.6424991	34.8290992	cafe	
Sedef	38.6437198	34.830974	restaurant	
Alaturca	38.6430498	34.8304969	restaurant	
(isimsiz)	38.6254266	34.8643373		bakery
(isimsiz)	38.6209614	34.8651213	cafe	
Neşeli Günler	38.6227197	34.8652662	restaurant	
Borsa	38.6222583	34.8650354		supermarket
(isimsiz)	38.621084	34.864865	restaurant	
(isimsiz)	38.6214661	34.865673	restaurant	
Kumsal & İnci	38.7185389	34.8462993	restaurant	
Harmandalı	38.6087867	34.8023937	restaurant	
Orient	38.6448384	34.8278157	restaurant	
Çin restaraunt	38.6444167	34.8283894	restaurant	
Mercan	38.6438249	34.8303286	restaurant	
Özcan	38.7088137	34.8507274		supermarket
Kapadoya	38.7075913	34.8521504		supermarket
Dilek	38.7125947	34.8488842		supermarket
Evranos	38.7174934	34.84386	restaurant	
